Vernier Format 2
RKE_withMass.cmbl 3/20/2024 20:39:57 .
Latest
Time	GateState	STime	SDist	SVel	SAccel
t	State	stime	sdist	svel	saccel
s		s	m	m/s	m/s^2

0.9258836	0	1.6757836	1.275	0.829741783809	-0.142176946163
0.9347972	1	1.6938896	1.29	0.825199177744	-0.35960213973
0.9431864	0	1.7121396	1.305	0.823189203233	0.139330960367
0.952184	1	1.7303334	1.32	0.826125277875	0.183424554431
0.9605832	0	1.748454	1.335	0.827112717656	-0.0744392249168
0.9693836	1	1.7666042	1.35	0.827699644775	0.139113676886
0.977684	0	1.7846992	1.365	0.828546587167	-0.0455030228546
0.986484	1	1.8028122	1.38	0.826511875943	-0.179165582552
0.9947108	0	1.8209966	1.395	0.82370399634	-0.129657320863
1.0035124	1	1.8392332	1.41	0.821099408958	-0.155986645929
1.0117832	0	1.8575332	1.425	0.818552492644	-0.122364863815
1.0205832	1	1.8758834	1.44	0.816325086043	-0.120401602021
1.0287832	0	1.8942834	1.455	0.815825731992	0.0661239877848
1.0375192	1	1.912656	1.47	0.816704505989	0.0295373771397
1.0456868	0	1.9310164	1.485	0.817492805528	0.0563321616324
1.0542832	1	1.9493536	1.5	0.819075139979	0.11624974295
1.0623832	0	1.9676432	1.515	0.819012863702	-0.123059763548
1.0708	1	1.9859832	1.53	0.817305892878	-0.0630875455223
1.0787056	0	2.0043492	1.545	0.815628170264	-0.119611203698
1.0870192	1	2.0227648	1.56	0.811929108142	-0.282120167756
1.094882	0	2.041299	1.575	0.808214431863	-0.118725434319
1.103108	1	2.0598838	1.59	0.806720897752	-0.042000977711
1.1108832	0	2.0784866	1.605	0.806386589604	0.00605927564322
1.1190832	1	2.0970868	1.62	0.807461328137	0.109502764842
1.1268836	0	2.1156402	1.635	0.809483131377	0.108441465305
1.1351084	1	2.1341476	1.65	0.810784734166	0.0322160867391
1.1428976	0	2.1526414	1.665	0.810025447389	-0.114328662577
1.1513844	1	2.1711836	1.68	0.80829963046	-0.071821516851
1.1595832	0	2.1897564	1.695	0.806817631423	-0.087766594501
1.1684028	1	2.2083668	1.71	0.803495327742	-0.269270726709
1.17673	0	2.227094	1.725	0.799646184788	-0.141804388992
1.1857832	1	2.2458836	1.74	0.798097453483	-0.0230454540421
1.1942836	0	2.2646834	1.755	0.797880828519	6.25983471155E-13
1.2033836	1	2.2834832	1.77	0.79879217405	0.096952683641
1.2119836	0	2.3022402	1.785	0.800535423154	0.088924493231
1.220984	1	2.3209582	1.8	0.801706316289	0.036184293496
1.2294996	0	2.3396604	1.815	0.801407216477	-0.0681698151487
1.2385212	1	2.3583924	1.83	0.799327391712	-0.153891338493
1.2470104	0	2.3771922	1.845	0.796701980451	-0.125410703107
1.2560836	1	2.3960478	1.86	0.793659553652	-0.197297330479
1.2645832	0	2.4149922	1.875	0.790609041344	-0.124751645243
1.2736832	1	2.4339934	1.89	0.788479977456	-0.0993461894169
1.2821832	0	2.4530402	1.905	0.787604173201	0.00738278816653
1.291284	1	2.4720836	1.92	0.789180353694	0.158152829765
1.2998832	0	2.4910546	1.935	0.791123044685	0.0466535579478
1.3089832	1	2.5100044	1.95	0.791996033304	0.0454834164944
1.317584	0	2.5289336	1.965	0.791987688321	-0.0463651213148
1.3267832	1	2.5478838	1.98	0.790516534715	-0.108900111319
1.3353836	0	2.5668836	1.995	0.788410181785	-0.112823583666
1.344526	1	2.5859352	2.01	0.785313773322	-0.212231368484
1.3531836	0	2.6050854	2.025	0.782133278209	-0.119931753891
1.3623832	1	2.624292	2.04	0.780110229725	-0.0907300481398
1.3709832	0	2.6435416	2.055	0.779394941827	0.0164128781103
1.380184	1	2.6627834	2.07	0.780402346949	0.0882971928429
1.3888816	0	2.6819834	2.085	0.782275339363	0.106806183621
1.397984	1	2.7011332	2.1	0.784271025689	0.101622763585
1.406596	0	2.7202356	2.115	0.784266945525	-0.102049952242
1.4157836	1	2.7393856	2.13	0.78192268565	-0.142781366297
1.4243052	0	2.7586028	2.145	0.778880013891	-0.17387993286
1.4334272	1	2.7779028	2.16	0.775593303814	-0.16671178499
1.4420848	0	2.7972832	2.175	0.773229214368	-0.0772552585511
1.451284	1	2.8167012	2.19	0.771678056485	-0.0825096897957
1.4599836	0	2.8361596	2.205	0.770404729588	-0.048367144548
1.4691192	1	2.8556418	2.22	0.770734370485	0.082207357316
1.4777276	0	2.8750836	2.235	0.773046369646	0.155630616639
1.486916	1	2.8944496	2.25	0.7748696926	0.032670834776
1.4956832	0	2.9137998	2.265	0.774510527837	-0.0697934240213
1.5049832	1	2.9331838	2.28	0.772531292906	-0.13441983748
1.5137008	0	2.9526334	2.295	0.770032141259	-0.122567622106
1.522984	1	2.9721434	2.31	0.767075370326	-0.180535497653
1.531584	0	2.9917434	2.325	0.764105279386	-0.122535006425
1.5409068	1	3.0114052	2.34	0.762714540749	-0.0189310483094
1.5496188	0	3.0310766	2.355	0.761432215039	-0.111443577777
1.558922	1	3.0508048	2.37	0.752535028665	-0.790532920232
1.5677236	0	3.0709506	2.385	0.747299668528	0.270785862585
1.576902	1	3.0909504	2.4	 	 
1.5855836	0	3.1103832	 	 	 
1.5947836	1	 	 	 	 
1.6034956	0	 	 	 	 
1.6127296	1	 	 	 	 
1.6214276	0	 	 	 	 
1.6306252	1	 	 	 	 
1.6393836	0	 	 	 	 
1.6486832	1	 	 	 	 
1.6574184	0	 	 	 	 
1.666784	1	 	 	 	 
1.675484	0	 	 	 	 
1.6847832	1	 	 	 	 
1.6936008	0	 	 	 	 
1.702996	1	 	 	 	 
1.7118076	0	 	 	 	 
1.7212832	1	 	 	 	 
1.7299832	0	 	 	 	 
1.7393836	1	 	 	 	 
1.7482812	0	 	 	 	 
1.7575244	1	 	 	 	 
1.7663832	0	 	 	 	 
1.775684	1	 	 	 	 
1.7843832	0	 	 	 	 
1.7937144	1	 	 	 	 
1.8025832	0	 	 	 	 
1.81191	1	 	 	 	 
1.8206836	0	 	 	 	 
1.8300832	1	 	 	 	 
1.8389836	0	 	 	 	 
1.8483832	1	 	 	 	 
1.8572148	0	 	 	 	 
1.8666832	1	 	 	 	 
1.8755832	0	 	 	 	 
1.8850836	1	 	 	 	 
1.8939832	0	 	 	 	 
1.9034832	1	 	 	 	 
1.9123832	0	 	 	 	 
1.9218288	1	 	 	 	 
1.9307832	0	 	 	 	 
1.940204	1	 	 	 	 
1.949114	0	 	 	 	 
1.9585032	1	 	 	 	 
1.9673832	0	 	 	 	 
1.9767832	1	 	 	 	 
1.9856904	0	 	 	 	 
1.9951832	1	 	 	 	 
2.00402	0	 	 	 	 
2.0135152	1	 	 	 	 
2.0224952	0	 	 	 	 
2.0320144	1	 	 	 	 
2.0410036	0	 	 	 	 
2.0505836	1	 	 	 	 
2.0595836	0	 	 	 	 
2.069184	1	 	 	 	 
2.07813	0	 	 	 	 
2.0877892	1	 	 	 	 
2.0967836	0	 	 	 	 
2.1063844	1	 	 	 	 
2.115384	0	 	 	 	 
2.124896	1	 	 	 	 
2.133894	0	 	 	 	 
2.1433992	1	 	 	 	 
2.1523836	0	 	 	 	 
2.1618836	1	 	 	 	 
2.1708832	0	 	 	 	 
2.1804836	1	 	 	 	 
2.1894812	0	 	 	 	 
2.1990292	1	 	 	 	 
2.2080932	0	 	 	 	 
2.2177044	1	 	 	 	 
2.226804	0	 	 	 	 
2.2364836	1	 	 	 	 
2.2455832	0	 	 	 	 
2.2552836	1	 	 	 	 
2.2643256	0	 	 	 	 
2.2740832	1	 	 	 	 
2.2831832	0	 	 	 	 
2.2928832	1	 	 	 	 
2.3019832	0	 	 	 	 
2.3115972	1	 	 	 	 
2.3206908	0	 	 	 	 
2.3303192	1	 	 	 	 
2.3393892	0	 	 	 	 
2.3490016	1	 	 	 	 
2.3580988	0	 	 	 	 
2.3677832	1	 	 	 	 
2.3768832	0	 	 	 	 
2.3866012	1	 	 	 	 
2.395784	0	 	 	 	 
2.4054944	1	 	 	 	 
2.4146984	0	 	 	 	 
2.42449	1	 	 	 	 
2.4336832	0	 	 	 	 
2.4434968	1	 	 	 	 
2.4526992	0	 	 	 	 
2.4625836	1	 	 	 	 
2.4717836	0	 	 	 	 
2.4815836	1	 	 	 	 
2.4907932	0	 	 	 	 
2.5005256	1	 	 	 	 
2.509726	0	 	 	 	 
2.5194832	1	 	 	 	 
2.5286268	0	 	 	 	 
2.538384	1	 	 	 	 
2.5475836	0	 	 	 	 
2.5573836	1	 	 	 	 
2.5665832	0	 	 	 	 
2.5763836	1	 	 	 	 
2.5856832	0	 	 	 	 
2.5954868	1	 	 	 	 
2.6047868	0	 	 	 	 
2.614684	1	 	 	 	 
2.6239836	0	 	 	 	 
2.6339	1	 	 	 	 
2.6432032	0	 	 	 	 
2.6531832	1	 	 	 	 
2.6624832	0	 	 	 	 
2.6723836	1	 	 	 	 
2.68171	0	 	 	 	 
2.6915832	1	 	 	 	 
2.7008832	0	 	 	 	 
2.7106832	1	 	 	 	 
2.7199844	0	 	 	 	 
2.729788	1	 	 	 	 
2.739086	0	 	 	 	 
2.7489832	1	 	 	 	 
2.7582832	0	 	 	 	 
2.7682224	1	 	 	 	 
2.7776104	0	 	 	 	 
2.7875832	1	 	 	 	 
2.7969832	0	 	 	 	 
2.8069832	1	 	 	 	 
2.8163832	0	 	 	 	 
2.8264192	1	 	 	 	 
2.8358288	0	 	 	 	 
2.8459	1	 	 	 	 
2.8553144	0	 	 	 	 
2.8653836	1	 	 	 	 
2.8748004	0	 	 	 	 
2.8847836	1	 	 	 	 
2.8941836	0	 	 	 	 
2.9041156	1	 	 	 	 
2.9134968	0	 	 	 	 
2.923484	1	 	 	 	 
2.9328832	0	 	 	 	 
2.9428836	1	 	 	 	 
2.9522844	0	 	 	 	 
2.9623832	1	 	 	 	 
2.9718836	0	 	 	 	 
2.9819036	1	 	 	 	 
2.9914264	0	 	 	 	 
3.0015832	1	 	 	 	 
3.0110832	0	 	 	 	 
3.0212272	1	 	 	 	 
3.0307832	0	 	 	 	 
3.040926	1	 	 	 	 
3.0504836	0	 	 	 	 
3.0606836	1	 	 	 	 
3.0708832	0	 	 	 	 
3.0812176	1	 	 	 	 
3.0906836	0	 	 	 	 
3.1006832	1	 	 	 	 
3.1101004	0	 	 	 	 
3.1200832	1	 	 	 	 
